,y,x,r,z,pc,std_bg
288,519,881,2,3,1.1669774320066868,62.86657774383956
289,730,1025,2,4,1.1685546652797867,66.62570356101315
290,401,1166,2,4,1.1688439249582556,125.95534923138437
291,630,541,2,5,1.1700176882008342,76.13008558090262
292,861,1501,2,7,1.1702267932489452,65.13191741893269
293,635,978,1,5,1.1729635150022681,263.17302280164574
294,1075,929,2,7,1.1739244491080798,68.75821920565812
295,1080,1607,2,9,1.1764315462856954,277.8780083058031
296,997,940,2,3,1.181726940136627,77.36812256277703
297,1045,1104,3,2,1.1817742714538721,348.5626737044573
298,1026,1429,2,5,1.184065345915057,73.83651940078312
299,1166,919,3,3,1.1863908226296696,87.93021222664154
300,1050,1516,3,10,1.186584131304247,134.58493291103082
301,816,1263,2,7,1.1881934542832326,98.96786796172225
302,806,1237,2,5,1.188216039279869,87.40264425188876
303,812,1433,3,4,1.1912369529240197,117.21667229489536
304,1066,1404,9,9,1.1936493220535405,115.92346280367518
305,1044,1186,2,4,1.1960546580594422,76.21705800249414
306,528,950,2,5,1.1965647013413103,103.38351436117205
307,1044,1051,2,4,1.1985493812102583,90.18511055970751
308,564,826,2,7,1.201361004950575,127.88598980689358
309,808,492,2,4,1.202746351994027,69.77731195660154
310,563,1314,2,5,1.2060301507537687,397.9336209302585
311,874,1232,2,7,1.206079424742605,73.39759258464969
312,862,1559,1,7,1.2086545635414077,108.3845311712987
313,417,863,2,5,1.212485188852278,74.28193290131561
314,518,1420,2,5,1.2126943048159393,68.06643762204362
315,497,969,2,9,1.2139851084493363,278.83721542924167
316,606,532,1,9,1.2180387290598569,476.59451486271035
317,375,1009,2,7,1.219472324843888,129.95455936595684
318,719,1624,1,5,1.2232009306963603,86.07211930829996
319,800,806,2,5,1.2330895203573047,65.71334001217375
320,599,926,2,5,1.2352049537201277,101.03422653019894
321,1103,1340,2,7,1.2380139235518193,96.88587752551395
322,970,638,2,8,1.2420340746521004,182.9383434384383
323,884,1225,2,7,1.2448675794605029,70.37025097455758
324,866,479,2,7,1.2467362924281984,99.19816551563171
325,559,1199,3,7,1.248266296809986,206.3071090968241
326,718,1462,9,6,1.2592371673791298,218.4045614659543
327,748,1496,2,5,1.2612375275792802,91.61752470643012
328,436,1168,2,3,1.2626758259731763,102.78564534451729
329,762,1042,2,4,1.2652875357793392,143.85039972137722
330,1008,1185,2,7,1.2687692610320636,80.47203404841267
331,756,1116,2,7,1.2700741827667728,72.16916854785629
332,790,964,2,4,1.2718035015048057,89.9555349263673
333,818,1008,2,4,1.2743603878206167,87.41388619664498
334,628,1111,2,7,1.2745289784210183,82.08421107821731
335,656,886,2,7,1.2758938533934896,77.44496253612769
336,786,1229,1,4,1.2762212116766907,101.84339148363476
337,1192,1197,2,8,1.2764550264550265,118.62176555712232
338,669,838,1,4,1.277779574936111,98.30097454869012
339,1012,1123,2,10,1.278301731786665,412.26718808922936
340,754,482,2,10,1.2867827166138672,379.25126345647595
341,962,1606,2,5,1.2913052115753925,68.88935371706978
342,668,832,2,7,1.2923495497829889,89.02153297564209
343,923,1174,2,7,1.2929767851895386,112.24785787364597
344,569,1224,1,4,1.2932094212519054,108.55758040730684
345,810,1457,2,7,1.2965617225983954,84.88996145337536
346,940,636,3,3,1.3040383121925965,133.2818650663156
347,833,899,2,5,1.3072424797110136,221.12433656705954
348,1123,1603,1,2,1.3097987462883536,157.56506041597194
349,1038,1330,2,7,1.3113673805601318,59.76249288270658
350,746,1165,2,5,1.3152326073509784,82.0477080050923
351,724,769,2,5,1.315938557161587,79.14504090592158
